ref;value;Field1;Field2;Field3;Field4;Field5;Field6;Field7;Field8
R3;5V;VRSTR ESD 0603 LO-CAP;BOURNS;CG0603MLC-05E;0.09;Y;Mous 652-CG0603MLC-05E;Digi CG0603MLC-05ECT-ND;
R4;22;RES CER 0603 22 5% 1/10;PANASONIC;ERJ-3GEYJ220V;0.0026;Y;Mous 667-ERJ-3GEYJ220V;Digi P220GCT-ND;
R5;22;RES CER 0603 22 5% 1/10;PANASONIC;ERJ-3GEYJ220V;0.0026;Y;Mous 667-ERJ-3GEYJ220V;Digi P220GCT-ND;
R6;120;RES CER 0603 120 5% 1/10;PANASONIC;ERJ-3GEYJ121V;0.0026;Y;Mous 667-ERJ-3GEYJ121V;Digi P120GCT-ND;
R16;120;RES CER 0603 120 5% 1/10;PANASONIC;ERJ-3GEYJ121V;0.0026;Y;Mous 667-ERJ-3GEYJ121V;Digi P120GCT-ND;
R7;10K;RES CER 0603 10K 5% 1/10;PANASONIC;ERJ-3GEYJ103V;0.0026;Y;Mous 667-ERJ-3GEYJ103V;Digi P10KGCT-ND;
R8;10K;RES CER 0603 10K 5% 1/10;PANASONIC;ERJ-3GEYJ103V;0.0026;Y;Mous 667-ERJ-3GEYJ103V;Digi P10KGCT-ND;
R9;10K;RES CER 0603 10K 5% 1/10;PANASONIC;ERJ-3GEYJ103V;0.0026;Y;Mous 667-ERJ-3GEYJ103V;Digi P10KGCT-ND;
R10;10K;RES CER 0603 10K 5% 1/10;PANASONIC;ERJ-3GEYJ103V;0.0026;Y;Mous 667-ERJ-3GEYJ103V;Digi P10KGCT-ND;
R11;10K;RES CER 0603 10K 5% 1/10;PANASONIC;ERJ-3GEYJ103V;0.0026;Y;Mous 667-ERJ-3GEYJ103V;Digi P10KGCT-ND;
R12;10K;RES CER 0603 10K 5% 1/10;PANASONIC;ERJ-3GEYJ103V;0.0026;Y;Mous 667-ERJ-3GEYJ103V;Digi P10KGCT-ND;
R13;10K;RES CER 0603 10K 5% 1/10;PANASONIC;ERJ-3GEYJ103V;0.0026;Y;Mous 667-ERJ-3GEYJ103V;Digi P10KGCT-ND;
R14;2.2K;RES CF AXIAL 2.2K 5% 1/8;STACKPOLE;CF18JT2K20;0.02;Y;Digi CF18JT2K20CT-ND;;
S1;A;SW PB N.O.;OMRON;B3F-1000;0.35;Y;Mous 653-B3F-1000;Digi SW400-ND;
S2;B;SW PB N.O.;OMRON;B3F-1000;0.35;Y;Mous 653-B3F-1000;Digi SW400-ND;
S3;RST;SW PB N.O.;OMRON;B3F-1000;0.35;Y;Mous 653-B3F-1000;Digi SW400-ND;
S4;UP;SW PB N.O.;OMRON;B3F-1000;0.35;Y;Mous 653-B3F-1000;Digi SW400-ND;
S5;RGT;SW PB N.O.;OMRON;B3F-1000;0.35;Y;Mous 653-B3F-1000;Digi SW400-ND;
S6;DWN;SW PB N.O.;OMRON;B3F-1000;0.35;Y;Mous 653-B3F-1000;Digi SW400-ND;
S7;LFT;SW PB N.O.;OMRON;B3F-1000;0.35;Y;Mous 653-B3F-1000;Digi SW400-ND;
U1;ATMEGA32U4;IC MICROP AVR;ATMEL;ATMEGA32U4-AU;3.96;Y;NEWARK 68T2838;Digi 535-11697-1-ND;
U2;5V;IC VREG LDO 5V SOT23;TI;LP2985-50DBVR;0.23;Y;Mous 595-LP2985-50DBVR;Digi 296-20717-1-ND;
U3;3.3V;IC VREG LDO 3.3V SOT23;TI;LP2985-33DBVR;0.28;Y;Mous 595-LP2985-33DBVR;Digi 296-18476-1-ND;
U4;MC14050;IC LVL SHFTR HEX SOIC;ON SEMI;MC14050BDR2G;0.15;Y;Mous 863-MC14050BDR2G;Digi MC14050BDR2GOSCT-ND;
Y1;8.000 MHz;XTAL 8 MHZ SMT;ABRACON;ABC2-8.000MHZ-4-T;1.13;Y;Mous 815-ABMM-16-B2-T;Digi 535-9155-1-ND;
Z1;300;IND FE 300 OHM;TDK;MMZ1608-B-301C;0.02;Y;Mous 810-MMZ1608B301C;Digi 445-2165-1-ND;
Z2;300;IND FE 300 OHM;TDK;MMZ1608-B-301C;0.02;Y;Mous 810-MMZ1608B301C;Digi 445-2165-1-ND;
